"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary somatosensory cortex S1 scvi"	0.449330883958738	0.00614697535631547	Inf	1	-58.4779938888248	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary visual cortexV1 scvi"	0.6323022394147	0.00859845054661179	Inf	1	-33.7083540026722	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	1.19195474017864	0.0158674673074367	Inf	1	13.1905621550431	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / whole cortex scvi"	0.413522902450016	0.00567416924632672	Inf	1	-64.3544864092496	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.467905535488894	0.00523381325105182	Inf	1	-67.89868501821	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.450308279202017	0.00617907872946563	Inf	1	-58.142363541453	0
"Dissection Primary auditory cortexA1 seurat / Dissection Primary somatosensory cortex S1 seurat"	0.990552708341	0.0107604684788069	Inf	1	-0.873802550467814	0.999998218313744
"Dissection Primary auditory cortexA1 seurat / Dissection Primary visual cortexV1 seurat"	1.04948036915818	0.0113791027138679	Inf	1	4.45420157782746	0.00143213084771998
"Dissection Primary auditory cortexA1 seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	1.96273116551723	0.0212794407336519	Inf	1	62.1981646214103	0
"Dissection Primary auditory cortexA1 seurat / whole cortex seurat"	1.12152806808898	0.0121509802003677	Inf	1	10.5860111194938	1.84852133600089e-13
"Dissection Primary auditory cortexA1 seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.06693841749441	0.0147019258439622	Inf	1	4.70213316166585	0.000453976967369263
"Dissection Primary auditory cortexA1 seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.00738078939759	0.0109315817124044	Inf	1	0.677665945518953	0.99999997630891
"Dissection Primary auditory cortexA1 seurat / Dissection Angular gyrus AnG scvi"	0.98171633473026	0.0109628878246921	Inf	1	-1.6524378661685	0.984876961041907
"Dissection Primary auditory cortexA1 seurat / Dissection Anterior cingulate cortex ACC scvi"	1.14282962867738	0.0127813555360962	Inf	1	11.9373972166256	0
"Dissection Primary auditory cortexA1 seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	2.71644968075695	0.0373720430411814	Inf	1	72.6376705615143	0
"Dissection Primary auditory cortexA1 seurat / Dissection Primary auditory cortexA1 scvi"	0.943498207838417	0.0105475485076326	Inf	1	-5.2025950307531	3.6177241060753e-05
"Dissection Primary auditory cortexA1 seurat / Dissection Primary somatosensory cortex S1 scvi"	0.919873481459571	0.0103301294283575	Inf	1	-7.43718084830293	1.96611615876918e-11
"Dissection Primary auditory cortexA1 seurat / Dissection Primary visual cortexV1 scvi"	1.29445378243463	0.0144973920889751	Inf	1	23.0444236269229	0
"Dissection Primary auditory cortexA1 seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	2.44017848702126	0.0266701943322872	Inf	1	81.6196872210829	0
"Dissection Primary auditory cortexA1 seurat / whole cortex scvi"	0.846567119065187	0.00953874971056867	Inf	1	-14.7827677254387	0
"Dissection Primary auditory cortexA1 seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.957899644316233	0.0132685700313324	Inf	1	-3.10518995544286	0.179020835983921
"Dissection Primary auditory cortexA1 seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.921874412170756	0.0104000181409485	Inf	1	-7.21066543990507	1.05867425936879e-10
"Dissection Primary somatosensory cortex S1 seurat / Dissection Primary visual cortexV1 seurat"	1.0594896771479	0.0114988392401667	Inf	1	5.32445974667126	1.87571177404644e-05
"Dissection Primary somatosensory cortex S1 seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	1.98145050635867	0.0215204529802874	Inf	1	62.9621331675012	0
"Dissection Primary somatosensory cortex S1 seurat / whole cortex seurat"	1.13222452338487	0.0122782267417533	Inf	1	11.4515324949512	0
"Dissection Primary somatosensory cortex S1 seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.07711422977314	0.0148548892060198	Inf	1	5.38636943369226	1.33551741754445e-05
"Dissection Primary somatosensory cortex S1 seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.01698857709931	0.011044752025545	Inf	1	1.55115050326338	0.992670280898533
"Dissection Primary somatosensory cortex S1 seurat / Dissection Angular gyrus AnG scvi"	0.991079350410803	0.0110909714727107	Inf	1	-0.800718113050738	0.999999584498167
"Dissection Primary somatosensory cortex S1 seurat / Dissection Anterior cingulate cortex ACC scvi"	1.15372924535375	0.0129327949726722	Inf	1	12.7569273403069	0
"Dissection Primary somatosensory cortex S1 seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	2.74235753219686	0.0378012661062448	Inf	1	73.1864253832853	0
"Dissection Primary somatosensory cortex S1 seurat / Dissection Primary auditory cortexA1 scvi"	0.952496722177065	0.0106711645234243	Inf	1	-4.34410832218834	0.00233033615127309
"Dissection Primary somatosensory cortex S1 seurat / Dissection Primary somatosensory cortex S1 scvi"	0.928646677469789	0.0104507538251287	Inf	1	-6.57798196356138	9.04355845765537e-09
"Dissection Primary somatosensory cortex S1 seurat / Dissection Primary visual cortexV1 scvi"	1.30679949843619	0.0146705923554252	Inf	1	23.8350797465314	0
"Dissection Primary somatosensory cortex S1 seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	2.46345143117939	0.0270004503456017	Inf	1	82.2563175297963	0
"Dissection Primary somatosensory cortex S1 seurat / whole cortex scvi"	0.85464116339961	0.00964960493734887	Inf	1	-13.9116115767621	0
"Dissection Primary somatosensory cortex S1 seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.967035510831669	0.0134175561297319	Inf	1	-2.41587137810933	0.649421451644785
"Dissection Primary somatosensory cortex S1 seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.930666691845941	0.0105217672020339	Inf	1	-6.3556049650199	3.93225337846914e-08
"Dissection Primary visual cortexV1 seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	1.87019331013461	0.020218190201266	Inf	1	57.909198322572	0
"Dissection Primary visual cortexV1 seurat / whole cortex seurat"	1.06865083049489	0.0115612668524737	Inf	1	6.13731637092697	1.58663056470942e-07
"Dissection Primary visual cortexV1 seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.0166349451112	0.0140039553266831	Inf	1	1.19770054459954	0.999760206215032
"Dissection Primary visual cortexV1 seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.959885309913547	0.0104041200334262	Inf	1	-3.77726477302635	0.0223993508201978
"Dissection Primary visual cortexV1 seurat / Dissection Angular gyrus AnG scvi"	0.935430869962553	0.0103942187628217	Inf	1	-6.00700941501862	3.56689450420333e-07
"Dissection Primary visual cortexV1 seurat / Dissection Anterior cingulate cortex ACC scvi"	1.08894807588833	0.0121153379555295	Inf	1	7.65902036638402	3.67517127841666e-12
"Dissection Primary visual cortexV1 seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	2.58837588637878	0.0354953002117659	Inf	1	69.3507218868497	0
"Dissection Primary visual cortexV1 seurat / Dissection Primary auditory cortexA1 scvi"	0.899014631969937	0.0100004229056632	Inf	1	-9.57014263571075	1.55320201145059e-13
"Dissection Primary visual cortexV1 seurat / Dissection Primary somatosensory cortex S1 scvi"	0.876503752230665	0.00979492865919326	Inf	1	-11.7954634536042	0
"Dissection Primary visual cortexV1 seurat / Dissection Primary visual cortexV1 scvi"	1.23342353080215	0.013738231383503	Inf	1	18.8353530632243	0
"Dissection Primary visual cortexV1 seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	2.32513018702636	0.0252533187318964	Inf	1	77.6883681574324	0
"Dissection Primary visual cortexV1 seurat / whole cortex scvi"	0.806653601099982	0.00904585666078348	Inf	1	-19.1599714670268	0
"Dissection Primary visual cortexV1 seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.912737076811251	0.0126080420466365	Inf	1	-6.61004021369264	7.28732174604119e-09
"Dissection Primary visual cortexV1 seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.878410344073626	0.00986076413944129	Inf	1	-11.5486359377353	0
"(Human Multiple Cortical Areas SMART-seq seurat) / whole cortex seurat"	0.571411962979365	0.00617235401621842	Inf	1	-51.8096925850326	0
"(Human Multiple Cortical Areas SMART-seq seurat) / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.543598856654037	0.00742601853373453	Inf	1	-44.619772613215	0
"(Human Multiple Cortical Areas SMART-seq seurat) / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.51325459497257	0.00556455405996284	Inf	1	-61.5201550072667	0
"(Human Multiple Cortical Areas SMART-seq seurat) / Dissection Angular gyrus AnG scvi"	0.50017870606928	0.00551720932787808	Inf	1	-62.8068832073803	0
"(Human Multiple Cortical Areas SMART-seq seurat) / Dissection Anterior cingulate cortex ACC scvi"	0.582264982976522	0.00641005542031372	Inf	1	-49.1269012691082	0
"(Human Multiple Cortical Areas SMART-seq seurat) / Dissection Dorsolateral prefrontal cortex DFC scvi"	1.38401515626878	0.0186749720493746	Inf	1	24.085146418044	0
"(Human Multiple Cortical Areas SMART-seq seurat) / Dissection Primary auditory cortexA1 scvi"	0.48070679490626	0.00530629302627268	Inf	1	-66.3583132224986	0
"(Human Multiple Cortical Areas SMART-seq seurat) / Dissection Primary somatosensory cortex S1 scvi"	0.468670135584849	0.00519830951158877	Inf	1	-68.3269276992202	0
"(Human Multiple Cortical Areas SMART-seq seurat) / Dissection Primary visual cortexV1 scvi"	0.659516598695015	0.00725677848779925	Inf	1	-37.8298107076374	0
"(Human Multiple Cortical Areas SMART-seq seurat) / (Human Multiple Cortical Areas SMART-seq scvi)"	1.243256605842	0.0132630583792711	Inf	1	20.4100377504719	0
"(Human Multiple Cortical Areas SMART-seq seurat) / whole cortex scvi"	0.431320974537078	0.00480495972596035	Inf	1	-75.484293809632	0
"(Human Multiple Cortical Areas SMART-seq seurat) / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.488044242199517	0.00665814392066435	Inf	1	-52.5819446337624	0
"(Human Multiple Cortical Areas SMART-seq seurat) / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.469689598028988	0.00522954530934999	Inf	1	-67.8713984802572	0
"whole cortex seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.951325649221081	0.0130887172872677	Inf	1	-3.6267918262751	0.0379342765547938
"whole cortex seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.898221647822071	0.00972859040522513	Inf	1	-9.91034528420786	1.7963408538435e-13
"whole cortex seurat / Dissection Angular gyrus AnG scvi"	0.875338177138134	0.00971880575179168	Inf	1	-11.9918934801978	0
"whole cortex seurat / Dissection Anterior cingulate cortex ACC scvi"	1.0189933370323	0.0113264374352884	Inf	1	1.69272812621302	0.980339489927067
"whole cortex seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	2.42209692119933	0.0331764075613456	Inf	1	64.5841013244319	0
"whole cortex seurat / Dissection Primary auditory cortexA1 scvi"	0.841261342166929	0.00935120706639861	Inf	1	-15.5503428317488	0
"whole cortex seurat / Dissection Primary somatosensory cortex S1 scvi"	0.82019657611154	0.00915874611577722	Inf	1	-17.7504844812114	0
"whole cortex seurat / Dissection Primary visual cortexV1 scvi"	1.15418759393183	0.0128420882429095	Inf	1	12.8878345857723	0
"whole cortex seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	2.17576229828932	0.0235965650421785	Inf	1	71.6795898824227	0
"whole cortex seurat / whole cortex scvi"	0.754833644518313	0.00845910224378514	Inf	1	-25.0975710955543	0
"whole cortex seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.854102248148314	0.0117856867339681	Inf	1	-11.4287486802516	0
"whole cortex seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.821980687243591	0.00922089506967797	Inf	1	-17.4755010561671	0
"(Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat) / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.944178944988511	0.013029009680677	Inf	1	-4.16249848146728	0.00503577426060475
"(Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Angular gyrus AnG scvi"	0.920124646964829	0.0128329723953348	Inf	1	-5.96875109837007	4.51004721013781e-07
"(Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Anterior cingulate cortex ACC scvi"	1.07112988897821	0.0147997793490704	Inf	1	4.97316103338634	0.000119359975641609
"(Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Dorsolateral prefrontal cortex DFC scvi"	2.54602293460969	0.0278526814260858	Inf	1	85.4259294676227	0
"(Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Primary auditory cortexA1 scvi"	0.884304278829999	0.0123327150769932	Inf	1	-8.81629133693046	1.51878509768721e-13
"(Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Primary somatosensory cortex S1 scvi"	0.862161739025006	0.0120534310321927	Inf	1	-10.6085371773192	1.89515070303514e-13
"(Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Primary visual cortexV1 scvi"	1.21324132790579	0.016881379423395	Inf	1	13.8918839377885	0
"(Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat) / (Human Multiple Cortical Areas SMART-seq scvi)"	2.28708465925499	0.031231790790841	Inf	1	60.5810496039275	0
"(Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat) / whole cortex scvi"	0.793454528569003	0.0111228165128011	Inf	1	-16.5041725002571	0
"(Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat) / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.897802186714538	0.0100968869519068	Inf	1	-9.58592775814108	1.55764290354909e-13
"(Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat) / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.86403713377917	0.0121156666797584	Inf	1	-10.4220416311658	2.05946371067967e-13
