study	key	metric	mean	std
GSE181021.2	global	macro_recall	0.9588650334030099	0.038023984411599654
GSE181021.2	global	micro_f1	0.9575	0.045734742446707465
GSE181021.2	global	micro_precision	0.9575	0.045734742446707465
GSE181021.2	global	micro_recall	0.9575	0.045734742446707465
GSE181021.2	global	overall_accuracy	0.9575	0.045734742446707465
GSE181021.2	global	weighted_f1	0.9764638242894057	0.02414418139297061
GSE181021.2	global	weighted_precision	0.9975499999999999	0.004899999999999996
GSE181021.2	global	weighted_recall	0.9575	0.045734742446707465
GSE181021.2	subclass	macro_f1	0.6453788156733629	0.024409190857315657
GSE181021.2	subclass	macro_precision	0.9177155260160766	0.047594070517462624
GSE181021.2	subclass	macro_recall	0.6582580463015246	0.02831646327422397
GSE181021.2	subclass	micro_f1	0.7875	0.04349329450233294
GSE181021.2	subclass	micro_precision	0.7875	0.04349329450233294
GSE181021.2	subclass	micro_recall	0.7875	0.04349329450233294
GSE181021.2	subclass	overall_accuracy	0.7875	0.04349329450233294
GSE181021.2	subclass	weighted_f1	0.7517961287843758	0.044718262376560396
GSE181021.2	subclass	weighted_precision	0.9041348907315174	0.009843647784690327
GSE181021.2	subclass	weighted_recall	0.7875	0.04349329450233294
GSE185454	class	macro_f1	0.6972224294369012	0.0974927635630509
GSE185454	class	macro_precision	0.9308600713012478	0.07459889055001843
GSE185454	class	macro_recall	0.7237515712437825	0.06942559402047241
GSE185454	class	micro_f1	0.905	0.01732050807568878
GSE185454	class	micro_precision	0.905	0.01732050807568878
GSE185454	class	micro_recall	0.905	0.01732050807568878
GSE185454	class	overall_accuracy	0.905	0.01732050807568878
GSE185454	class	weighted_f1	0.91570976138165	0.01819608226236992
GSE185454	class	weighted_precision	0.9890279277832289	0.01103645089229447
GSE185454	class	weighted_recall	0.905	0.01732050807568878
GSE185454	family	macro_f1	0.8580662742952658	0.09549033857906268
GSE185454	family	macro_precision	0.9906683716965047	0.007359987184615785
GSE185454	family	macro_recall	0.8516865079365079	0.10137024958354342
GSE185454	family	micro_f1	0.9824999999999999	0.014999999999999996
GSE185454	family	micro_precision	0.9824999999999999	0.014999999999999996
GSE185454	family	micro_recall	0.9824999999999999	0.014999999999999996
GSE185454	family	overall_accuracy	0.9824999999999999	0.014999999999999996
GSE185454	family	weighted_f1	0.9783721198269518	0.017486960228560392
GSE185454	family	weighted_precision	0.9830697426093845	0.014586435204259514
GSE185454	family	weighted_recall	0.9824999999999999	0.014999999999999996
GSE185454	global	macro_f1	0.9814933431600644	0.023763241491631212
GSE185454	global	macro_precision	0.9920097054886212	0.009383134593768655
GSE185454	global	macro_recall	0.9729166666666667	0.03560001560548969
GSE185454	global	micro_f1	0.9875	0.01500000000000002
GSE185454	global	micro_precision	0.9875	0.01500000000000002
GSE185454	global	micro_recall	0.9875	0.01500000000000002
GSE185454	global	overall_accuracy	0.9875	0.01500000000000002
GSE185454	global	weighted_f1	0.9872139687219079	0.015400897701299543
GSE185454	global	weighted_precision	0.9879099732262383	0.014485935439998668
GSE185454	global	weighted_recall	0.9875	0.01500000000000002
GSE185454	subclass	macro_f1	0.6814503206628257	0.07000867971531988
GSE185454	subclass	macro_precision	0.891938025210084	0.03964185838684639
GSE185454	subclass	macro_recall	0.6927263447141028	0.055918783803123366
GSE185454	subclass	micro_f1	0.7575000000000001	0.0320156211871643
GSE185454	subclass	micro_precision	0.7575000000000001	0.0320156211871643
GSE185454	subclass	micro_recall	0.7575000000000001	0.0320156211871643
GSE185454	subclass	overall_accuracy	0.7575000000000001	0.0320156211871643
GSE185454	subclass	weighted_f1	0.7998151823749189	0.021620091246171314
GSE185454	subclass	weighted_precision	0.9449753777261685	0.007832659147401102
GSE185454	subclass	weighted_recall	0.7575000000000001	0.0320156211871643
GSE199460.2	class	macro_f1	0.9492765861622473	0.034712442334891166
GSE199460.2	class	macro_precision	1.0	0.0
