"method"	"cutoff"	"fit"	"se"	"lower"	"upper"	"key"
"scvi"	0.05	0.910637010948307	0.0311189030248872	0.828046191151512	0.955681922383222	"global"
"seurat"	0.1	0.934162721978605	0.0235039254788226	0.870269614531954	0.967754006742958	"global"
"scvi"	0.1	0.889950499142126	0.0374388663743691	0.792638578634658	0.944776878264727	"global"
"seurat"	0.15	0.929675794393092	0.024981623885352	0.862083840208173	0.965468220865335	"global"
"scvi"	0.15	0.865184240462092	0.0445757181149748	0.752112025343038	0.931384798313645	"global"
"seurat"	0.2	0.924907655703632	0.0265364294291849	0.853462949884754	0.963028182428273	"global"
"scvi"	0.2	0.835872316045352	0.0524184413002971	0.706585060666524	0.915041503141282	"global"
"seurat"	0.25	0.919844100374584	0.0281700853440163	0.844394588638065	0.960424491586363	"global"
"scvi"	0.25	0.801648415346619	0.0607474591513456	0.656502443908441	0.895248603837062	"global"
"seurat"	0.5	0.889584881226928	0.0375570871971441	0.791994740053382	0.944591750529271	"global"
"scvi"	0.5	0.559865946347855	0.0941896193991907	0.375509226379721	0.729066108799021	"global"
"seurat"	0.75	0.849768305858425	0.0489236067558732	0.727420539933116	0.923012194037029	"global"
"scvi"	0.75	0.28589754389378	0.0782260764835844	0.158895082576738	0.459013773980653	"global"
"seurat"	0	0.679591324129638	0.0613131688537971	0.549823444244574	0.786479077857073	"subclass"
"scvi"	0	0.717166295625651	0.0571189648048449	0.593505615669382	0.814937937007307	"subclass"
"seurat"	0.05	0.674575836990877	0.0618067920415349	0.544153737147328	0.782591556555559	"subclass"
"scvi"	0.05	0.679292587426864	0.0613396473131742	0.549492188229521	0.786243043391976	"subclass"
"seurat"	0.1	0.669520018933976	0.0622914407270588	0.538469381586824	0.778655382495838	"subclass"
"scvi"	0.1	0.638900874404225	0.0649521520791629	0.504686440630323	0.754442384617539	"subclass"
"seurat"	0.15	0.664424727642319	0.0627667281106649	0.532771817742599	0.774670698290936	"subclass"
"scvi"	0.15	0.596444193165885	0.0677606233344321	0.459801465311761	0.719601084076267	"subclass"
"seurat"	0.2	0.659290855172849	0.0632322700163799	0.527062501336669	0.770637674743187	"subclass"
"scvi"	0.2	0.552492109161687	0.0696006404642808	0.415555514077039	0.681903975201512	"subclass"
"seurat"	0.25	0.654119327593565	0.0636876855093229	0.521342902189323	0.766556511331457	"subclass"
"scvi"	0.25	0.507704156728429	0.0703587252651982	0.372626691655046	0.641666088549236	"subclass"
"seurat"	0.5	0.627731598120692	0.0657998399690198	0.492642907336325	0.74543764116444	"subclass"
"scvi"	0.5	0.295501871170537	0.0586241018259242	0.194537568873631	0.4214485552772	"subclass"
"seurat"	0.75	0.600560051874617	0.0676046590312221	0.463911763242449	0.723162408478451	"subclass"
"scvi"	0.75	0.145736427672628	0.0350956910819907	0.089398389151452	0.228662777760153	"subclass"
