"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"	"key"
"Dissection Primary visual cortexV1"	"scvi_knn"	0.924835918981486	0.0312516244945795	Inf	0.836005374098665	0.967424734325262	"family"
"Human Multiple Cortical Areas SMART-seq"	"scvi_knn"	0.884215622901434	0.0460238568203692	Inf	0.75985338498649	0.948537441854763	"family"
"Single-nucleus transcriptome data from the dlPFC"	"scvi_knn"	0.889995113532021	0.0440129775399408	Inf	0.770225155144573	0.951283733529121	"family"
"whole cortex"	"scvi_knn"	0.885618030294088	0.0455392780398043	Inf	0.762354593044017	0.949206233263253	"family"
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"scvi_knn"	0.919669141329795	0.0332119739822293	Inf	0.825886924870199	0.965073801301407	"family"
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"scvi_knn"	0.933324698152347	0.0279773932966932	Inf	0.852927996477457	0.971253857008901	"family"
"Dissection Angular gyrus AnG"	"seurat"	0.982838083549425	0.004445843429581	Inf	0.971561245797648	0.989690757772701	"global"
"Dissection Anterior cingulate cortex ACC"	"seurat"	0.978552546313057	0.0055300410238426	Inf	0.964566890514935	0.98709185523736	"global"
"Dissection Dorsolateral prefrontal cortex DFC"	"seurat"	0.950100422060182	0.0124822492166715	Inf	0.919125611898863	0.969604234429418	"global"
"Dissection Primary auditory cortexA1"	"seurat"	0.980309627254486	0.00508653532573871	Inf	0.967430247558238	0.988158326607694	"global"
"Dissection Primary somatosensory cortex S1"	"seurat"	0.981242227908347	0.00485067982134782	Inf	0.968952098267639	0.988723997142105	"global"
"Dissection Primary visual cortexV1"	"seurat"	0.981531658213663	0.00477734381798738	Inf	0.969424932138474	0.988899410161026	"global"
"Human Multiple Cortical Areas SMART-seq"	"seurat"	0.944051810837663	0.0139068465456853	Inf	0.909677314798728	0.965835573757822	"global"
"Single-nucleus transcriptome data from the dlPFC"	"seurat"	0.977642382260823	0.00575851686967168	Inf	0.963088285974979	0.986538087705412	"global"
"whole cortex"	"seurat"	0.952297027536748	0.0119615192261258	Inf	0.922571062934269	0.97096991349571	"global"
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.979360511002476	0.00532596589635414	Inf	0.965883806501365	0.987582041511552	"global"
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.978606573769761	0.00551637377788991	Inf	0.964655007955072	0.987124605558162	"global"
"Dissection Angular gyrus AnG"	"scvi_rf"	0.984424293900104	0.00403897782196646	Inf	0.974170261589901	0.990646707790355	"global"
"Dissection Anterior cingulate cortex ACC"	"scvi_rf"	0.981526465071118	0.00477576309080507	Inf	0.969425729307962	0.988892824213265	"global"
"Dissection Dorsolateral prefrontal cortex DFC"	"scvi_rf"	0.954213801609661	0.0115014948248279	Inf	0.925596667991785	0.972155282150432	"global"
"Dissection Primary auditory cortexA1"	"scvi_rf"	0.983920817970553	0.00416728443104668	Inf	0.973344686022202	0.990342254131124	"global"
"Dissection Primary somatosensory cortex S1"	"scvi_rf"	0.984621690332785	0.00398862025727527	Inf	0.974494146848753	0.990766020838808	"global"
"Dissection Primary visual cortexV1"	"scvi_rf"	0.980781481519193	0.00496455052178721	Inf	0.968208673467574	0.988441365575897	"global"
"Human Multiple Cortical Areas SMART-seq"	"scvi_rf"	0.973784694076033	0.00672208948595373	Inf	0.956840990002333	0.984186440133845	"global"
"Single-nucleus transcriptome data from the dlPFC"	"scvi_rf"	0.982818235708396	0.00444754267992894	Inf	0.971539495199843	0.989674776412788	"global"
"whole cortex"	"scvi_rf"	0.984996599898919	0.00389285662483153	Inf	0.975109735845141	0.990992499940624	"global"
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"scvi_rf"	0.986605790624561	0.00348105197125002	Inf	0.977755245648937	0.991963901429854	"global"
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"scvi_rf"	0.986534067758964	0.00349972667591158	Inf	0.977636272522361	0.991920976620666	"global"
"Dissection Angular gyrus AnG"	"scvi_knn"	0.959780727316858	0.0101657076289638	Inf	0.934392363806988	0.975601028767481	"global"
"Dissection Anterior cingulate cortex ACC"	"scvi_knn"	0.928824760525205	0.0174033683514845	Inf	0.886231441902655	0.956258804133725	"global"
"Dissection Dorsolateral prefrontal cortex DFC"	"scvi_knn"	0.910845033433388	0.0213760452693297	Inf	0.859128829518577	0.944795307991294	"global"
"Dissection Primary auditory cortexA1"	"scvi_knn"	0.956194032447718	0.011029994570379	Inf	0.928712528416514	0.973384954184314	"global"
"Dissection Primary somatosensory cortex S1"	"scvi_knn"	0.950059146668328	0.0124927274322229	Inf	0.919058759041415	0.969579423450017	"global"
"Dissection Primary visual cortexV1"	"scvi_knn"	0.946587233309413	0.0133118219290392	Inf	0.913629384887493	0.967417322547495	"global"
"Human Multiple Cortical Areas SMART-seq"	"scvi_knn"	0.91373650675326	0.0207492632931706	Inf	0.863443678894323	0.94665123844281	"global"
"Single-nucleus transcriptome data from the dlPFC"	"scvi_knn"	0.952045846870483	0.0120205061671697	Inf	0.922178692895478	0.970813038266566	"global"
"whole cortex"	"scvi_knn"	0.934639915448929	0.0160825048010613	Inf	0.895130740241652	0.959930438112188	"global"
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"scvi_knn"	0.93565586337634	0.0158486135077067	Inf	0.896696301548565	0.960568480866822	"global"
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"scvi_knn"	0.951953958097184	0.0120431338285994	Inf	0.922031929261391	0.970756926614241	"global"
"Dissection Angular gyrus AnG"	"seurat"	0.83699253840986	0.0597076056606861	Inf	0.685312095429058	0.923702182947194	"subclass"
"Dissection Anterior cingulate cortex ACC"	"seurat"	0.834224411238281	0.0605207235329043	Inf	0.680950019314976	0.922269785755464	"subclass"
"Dissection Dorsolateral prefrontal cortex DFC"	"seurat"	0.631990747701506	0.101771973137594	Inf	0.421437064248696	0.80193149458191	"subclass"
"Dissection Primary auditory cortexA1"	"seurat"	0.832086225859086	0.0611438597078315	Inf	0.67759997020276	0.921159541611213	"subclass"
"Dissection Primary somatosensory cortex S1"	"seurat"	0.831356485250844	0.0613558845027346	Inf	0.676459426244723	0.920780209468053	"subclass"
"Dissection Primary visual cortexV1"	"seurat"	0.831581472617807	0.0612902070869814	Inf	0.676811966932242	0.920896835140544	"subclass"
"Human Multiple Cortical Areas SMART-seq"	"seurat"	0.769303561116363	0.077662290593737	Inf	0.585820513294296	0.887159732632597	"subclass"
"Single-nucleus transcriptome data from the dlPFC"	"seurat"	0.775616598171639	0.0761569246619335	Inf	0.594508044014021	0.890705817045218	"subclass"
"whole cortex"	"seurat"	0.779966563423123	0.0751006622775884	Inf	0.600557307797697	0.893133464308109	"subclass"
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.846523733141293	0.0568554449048374	Inf	0.700542734883197	0.928594744451567	"subclass"
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.845115571364766	0.0572827691237213	Inf	0.698269067991694	0.927876552384472	"subclass"
"Dissection Angular gyrus AnG"	"scvi_rf"	0.840418462426903	0.0586907290746916	Inf	0.690751959587539	0.925466741754136	"subclass"
"Dissection Anterior cingulate cortex ACC"	"scvi_rf"	0.842043520916899	0.0582049387400315	Inf	0.693346429922591	0.926301218743611	"subclass"
"Dissection Dorsolateral prefrontal cortex DFC"	"scvi_rf"	0.75382166594959	0.081204556763252	Inf	0.564992627333981	0.878334232980015	"subclass"
"Dissection Primary auditory cortexA1"	"scvi_rf"	0.834963034424018	0.0603027914921827	Inf	0.682116342379114	0.922650840765778	"subclass"
"Dissection Primary somatosensory cortex S1"	"scvi_rf"	0.837250085346013	0.0596302902497238	Inf	0.685723406462472	0.923833859367306	"subclass"
"Dissection Primary visual cortexV1"	"scvi_rf"	0.832997644432825	0.0608768942587766	Inf	0.679031660939177	0.92163129172272	"subclass"
"Human Multiple Cortical Areas SMART-seq"	"scvi_rf"	0.818369387825493	0.0650443734909122	Inf	0.656485300547219	0.913962569377592	"subclass"
"Single-nucleus transcriptome data from the dlPFC"	"scvi_rf"	0.794257042649772	0.0715080516828807	Inf	0.620840188256868	0.901005149631221	"subclass"
"whole cortex"	"scvi_rf"	0.814466891514303	0.0661271587757423	Inf	0.650583491558871	0.911895023930869	"subclass"
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"scvi_rf"	0.858086943368689	0.053289595274705	Inf	0.719460675728943	0.934452988866028	"subclass"
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"scvi_rf"	0.850984123464252	0.0554945963210508	Inf	0.707779116603783	0.930865385658834	"subclass"
"Dissection Angular gyrus AnG"	"scvi_knn"	0.817898554604751	0.0651773266604763	Inf	0.655765809800063	0.913715340922767	"subclass"
"Dissection Anterior cingulate cortex ACC"	"scvi_knn"	0.784271630710732	0.0740366957784757	Inf	0.606604876164716	0.895519879333699	"subclass"
"Dissection Dorsolateral prefrontal cortex DFC"	"scvi_knn"	0.672220066544187	0.0964170818187259	Inf	0.465205573558997	0.828621605428773	"subclass"
"Dissection Primary auditory cortexA1"	"scvi_knn"	0.809961497977703	0.067357447425931	Inf	0.643841144278965	0.909491745750349	"subclass"
"Dissection Primary somatosensory cortex S1"	"scvi_knn"	0.809139521696466	0.0675804058982529	Inf	0.642616898787336	0.909052211462221	"subclass"
"Dissection Primary visual cortexV1"	"scvi_knn"	0.791615142808676	0.0721866791985606	Inf	0.617041450600105	0.899562053668796	"subclass"
"Human Multiple Cortical Areas SMART-seq"	"scvi_knn"	0.71331378361631	0.0894863234910459	Inf	0.513463951487536	0.854357832392307	"subclass"
"Single-nucleus transcriptome data from the dlPFC"	"scvi_knn"	0.782307418767091	0.0745228534696078	Inf	0.60384243214723	0.894431333394468	"subclass"
"whole cortex"	"scvi_knn"	0.755559697197682	0.0808194268369077	Inf	0.567292643000194	0.879336472514413	"subclass"
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"scvi_knn"	0.798870050447375	0.0703110820930725	Inf	0.627517034121512	0.903515827354439	"subclass"
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"scvi_knn"	0.81666270927509	0.0655200621557767	Inf	0.653896571565622	0.913060181200888	"subclass"
