key	study	reference	method	macro_f1_mean	cutoff	subsample_ref
class	GSE247339.2	whole cortex	scvi_rf	0.4977	0.0	100
class	GSE247339.2	whole cortex	seurat	0.4349	0.0	100
family	GSE124952	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.9258	0.0	100
family	GSE124952	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.8992	0.0	100
family	GSE124952	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.9527	0.0	100
family	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.891	0.0	100
family	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.9027	0.0	100
family	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.9436	0.0	100
family	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.8977	0.0	100
family	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.8596	0.0	100
family	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.943	0.0	100
family	GSE124952	whole cortex	scvi_knn	0.8794	0.0	100
family	GSE124952	whole cortex	scvi_rf	0.8547	0.0	100
family	GSE124952	whole cortex	seurat	0.823	0.0	100
family	GSE181021.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.8927	0.0	100
family	GSE181021.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.8972	0.0	100
family	GSE181021.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.9058	0.0	100
family	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.926	0.0	100
family	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.9253	0.0	100
family	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.9043	0.0	100
family	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.9188	0.0	100
family	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.8636	0.0	100
family	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.9325	0.0	100
