study	query	query_region	count
velmeshev	velmeshev 5278 BA24	anterior cingulate cortex	11040
velmeshev	velmeshev 5278 PFC	prefrontal cortex	11040
velmeshev	velmeshev 5294 BA24	anterior cingulate cortex	11040
velmeshev	velmeshev 5294 BA9	prefrontal cortex	11040
velmeshev	velmeshev 5387 BA9	prefrontal cortex	11040
velmeshev	velmeshev 5403 PFC	prefrontal cortex	11040
velmeshev	velmeshev 5408 PFC Nova	prefrontal cortex	11040
velmeshev	velmeshev 5419 PFC	prefrontal cortex	11040
velmeshev	velmeshev 5531 BA24	anterior cingulate cortex	11040
velmeshev	velmeshev 5538 PFC Nova	prefrontal cortex	11040
velmeshev	velmeshev 5554 BA24	anterior cingulate cortex	11040
velmeshev	velmeshev 5565 BA24	anterior cingulate cortex	11040
velmeshev	velmeshev 5565 BA9	prefrontal cortex	11040
pineda	pineda 191113 FTLD 224 snRNA-E2	primary motor cortex	11040
velmeshev	velmeshev 6033 BA9	prefrontal cortex	11040
lim	lim H5608Cin	cingulate cortex	11040
lim	lim H5263Cin	cingulate cortex	11040
lim	lim H4161Cin	cingulate cortex	11040
velmeshev	velmeshev 5978 BA9	prefrontal cortex	10080
velmeshev	velmeshev 5976 BA9	prefrontal cortex	10080
velmeshev	velmeshev 5939 BA24	anterior cingulate cortex	10080
velmeshev	velmeshev 5391 BA24	anterior cingulate cortex	10080
pineda	pineda 191114 PN 308 snRNA-E12	primary motor cortex	8640
rosmap	rosmap R4258320	prefrontal cortex	8160
rosmap	rosmap R4567280	prefrontal cortex	8160
rosmap	rosmap R4439627	prefrontal cortex	8160
rosmap	rosmap R4415805	prefrontal cortex	8160
rosmap	rosmap R4379962	prefrontal cortex	8160
rosmap	rosmap R2880377	prefrontal cortex	8160
rosmap	rosmap R3900996	prefrontal cortex	8160
rosmap	rosmap R3884524	prefrontal cortex	8160
rosmap	rosmap R3405776	prefrontal cortex	8160
rosmap	rosmap R4739508	prefrontal cortex	8160
rosmap	rosmap R2830542	prefrontal cortex	8160
rosmap	rosmap R2081705	prefrontal cortex	8160
rosmap	rosmap R4689636	prefrontal cortex	8160
rosmap	rosmap R6114572	prefrontal cortex	8160
rosmap	rosmap R5816648	prefrontal cortex	8160
rosmap	rosmap R5885245	prefrontal cortex	8160
rosmap	rosmap R1067972	prefrontal cortex	8160
rosmap	rosmap R7160627	prefrontal cortex	8160
rosmap	rosmap R7288382	prefrontal cortex	8160
rosmap	rosmap R7770387	prefrontal cortex	8160
rosmap	rosmap R8608442	prefrontal cortex	8160
rosmap	rosmap R8725848	prefrontal cortex	8160
rosmap	rosmap R8744945	prefrontal cortex	8160
rosmap	rosmap R9094222	prefrontal cortex	8160
rosmap	rosmap R9113571	prefrontal cortex	8160
rosmap	rosmap R9307768	prefrontal cortex	8160
rosmap	rosmap R9500594	prefrontal cortex	8160
rosmap	rosmap R1538032	prefrontal cortex	8160
rosmap	rosmap R4262244	prefrontal cortex	8160
lim	lim H5493Cin	cingulate cortex	7680
lim	lim C5404Cin	cingulate cortex	7680
lim	lim C5382Cin	cingulate cortex	7680
lim	lim H5575Cin	cingulate cortex	7680
GSE237718	GSE237718 1180354	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180333	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180326	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180327	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180328	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180329	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180330	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180331	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180332	Brain (temporal cortex)	7200
rosmap	rosmap R9551808	prefrontal cortex	7200
GSE237718	GSE237718 1180334	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180324	Brain (temporal cortex)	7200
rosmap	rosmap R9426782	prefrontal cortex	7200
rosmap	rosmap R8598847	prefrontal cortex	7200
rosmap	rosmap R8451530	prefrontal cortex	7200
GSE237718	GSE237718 1180353	Brain (temporal cortex)	7200
rosmap	rosmap R7721691	prefrontal cortex	7200
GSE237718	GSE237718 1180325	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180322	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180323	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180313	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180306	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180307	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180308	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180309	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180310	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180311	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180312	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180314	Brain (temporal cortex)	7200
rosmap	rosmap R4728676	prefrontal cortex	7200
GSE237718	GSE237718 1180315	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180316	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180317	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180318	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180319	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180320	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180321	Brain (temporal cortex)	7200
rosmap	rosmap R6267541	prefrontal cortex	7200
rosmap	rosmap R7944883	prefrontal cortex	7200
rosmap	rosmap R3086211	prefrontal cortex	7200
rosmap	rosmap R2895885	prefrontal cortex	7200
GSE237718	GSE237718 1180360	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180361	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180359	Brain (temporal cortex)	7200
rosmap	rosmap R4012015	prefrontal cortex	7200
rosmap	rosmap R4042599	prefrontal cortex	7200
rosmap	rosmap R4146432	prefrontal cortex	7200
GSE237718	GSE237718 1180358	Brain (temporal cortex)	7200
rosmap	rosmap R2294544	prefrontal cortex	7200
GSE237718	GSE237718 1180357	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180356	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180355	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180336	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180337	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180338	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180339	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180340	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180341	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180342	Brain (temporal cortex)	7200
rosmap	rosmap R4482444	prefrontal cortex	7200
GSE237718	GSE237718 1180343	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180344	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180345	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180346	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180347	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180349	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180350	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180351	Brain (temporal cortex)	7200
GSE237718	GSE237718 1180352	Brain (temporal cortex)	7200
rosmap	rosmap R3177264	prefrontal cortex	7200
lau	lau GSM4775581	prefrontal cortex	6720
lau	lau GSM4775568	prefrontal cortex	6720
lau	lau GSM4775566	prefrontal cortex	6720
lau	lau GSM4775571	prefrontal cortex	6720
lau	lau GSM4775567	prefrontal cortex	6720
lau	lau GSM4775572	prefrontal cortex	6720
lau	lau GSM4775570	prefrontal cortex	6720
lau	lau GSM4775561	prefrontal cortex	6720
lau	lau GSM4775573	prefrontal cortex	6720
lau	lau GSM4775565	prefrontal cortex	6720
lau	lau GSM4775564	prefrontal cortex	6720
lau	lau GSM4775574	prefrontal cortex	6720
lau	lau GSM4775575	prefrontal cortex	6720
lau	lau GSM4775576	prefrontal cortex	6720
lau	lau GSM4775577	prefrontal cortex	6720
lau	lau GSM4775578	prefrontal cortex	6720
lau	lau GSM4775579	prefrontal cortex	6720
lau	lau GSM4775563	prefrontal cortex	6720
lau	lau GSM4775580	prefrontal cortex	6720
lau	lau GSM4775562	prefrontal cortex	6720
lau	lau GSM4775569	prefrontal cortex	6720
GSE211870	GSE211870 1036042	adult prefrontal cortex	6240
GSE211870	GSE211870 1036044	adult prefrontal cortex	6240
rosmap	rosmap R5196723	prefrontal cortex	6240
rosmap	rosmap R6176158	prefrontal cortex	6240
GSE237718	GSE237718 1180348	Brain (temporal cortex)	6240
rosmap	rosmap R8629052	prefrontal cortex	6240
GSE237718	GSE237718 1180335	Brain (temporal cortex)	6240
GSE211870	GSE211870 1036043	adult prefrontal cortex	4800
GSE211870	GSE211870 1036045	adult prefrontal cortex	3360
GSE180670	GSE180670 1036083	brain-resection path (normal tissue) from neurosurgery for epilepsy	1440
GSE180670	GSE180670 1036085	brain-resection path (normal tissue) from neurosurgery for epilepsy	1440
GSE180670	GSE180670 1036084	brain-resection path (normal tissue) from neurosurgery for epilepsy	1440
GSE180670	GSE180670 1036082	brain-resection path (normal tissue) from neurosurgery for epilepsy	1440
