"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"	"key"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.654643282551095	0.0133186748873377	Inf	1	-20.824092241289	0	"family"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.771213407260347	0.015480474969122	Inf	1	-12.9423449765531	0	"family"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.22299275637563	0.0237627514892094	Inf	1	10.3603147164113	7.29416527178728e-14	"family"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex scvi"	0.691370996972854	0.0138582588141	Inf	1	-18.4128693685282	0	"family"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex seurat"	0.747662943235793	0.0125394066976771	Inf	1	-17.3391486535853	0	"family"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.447210692193091	0.00888112239681592	Inf	1	-40.5221106801993	0	"family"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.526843994099295	0.0103080608075557	Inf	1	-32.7538226379721	0	"family"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.835470937690698	0.015778927162751	Inf	1	-9.51801201939771	6.62803145701218e-14	"family"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex scvi"	0.472300732871761	0.00923061116438351	Inf	1	-38.382221786593	0	"family"
"whole cortex seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.598144787352465	0.0119934970292457	Inf	1	-25.630558365138	0	"family"
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.704654415289301	0.0139346233457903	Inf	1	-17.701427075213	0	"family"
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.11744328811441	0.0213653492587614	Inf	1	5.80774907001157	1.76676266061548e-07	"family"
"whole cortex seurat / whole cortex scvi"	0.63170274405697	0.0124729779137247	Inf	1	-23.2634120446432	0	"family"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.1780666323421	0.0209001604708946	Inf	1	9.23702258067979	8.74855743404623e-14	"family"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.86818193812318	0.0323389257261005	Inf	1	36.1035398331897	0	"family"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / whole cortex scvi"	1.05610340073854	0.0185388032662867	Inf	1	3.10961623311218	0.0395353288553406	"family"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.58580328721226	0.027157042144505	Inf	1	26.9248673704537	0	"family"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / whole cortex scvi"	0.896471703505357	0.0156117352221633	Inf	1	-6.27566961369813	9.73529390435601e-09	"family"
