key	label	method	n	mean	median	std	n_zero	pct_zero	n_one	pct_one	n_boundary	pct_boundary
class	L2/3-6 IT	scvi	102202	0.8985801488073397	0.9876543209876544	0.22183464480651385	1672	1.635975812606407	41304	40.41408191620516	42976	42.05005772881157
class	L2/3-6 IT	seurat	102825	0.9457743072168915	1.0	0.1338410232027979	178	0.17310965232190614	56476	54.92438609287625	56654	55.09749574519815
class	LAMP5	scvi	90592	0.8573034226274729	1.0	0.24555402389394132	4632	5.1130342635111266	52247	57.672862945955494	56879	62.78589720946662
class	LAMP5	seurat	91175	0.8702712543378575	1.0	0.23205399947420893	3965	4.348779819029339	54162	59.40444200712915	58127	63.75322182615849
class	Microglia	scvi	91003	0.9163202073972898	1.0	0.23351589448219295	4469	4.910827115589596	73460	80.72261354021296	77929	85.63344065580256
class	Microglia	seurat	91565	0.9204142606299596	1.0	0.22922766795011723	4328	4.726696881996396	74214	81.05061977829956	78542	85.77731666029597
class	Non-neuron	scvi	11840	0.8789455401955402	1.0	0.30916013452845026	1226	10.35472972972973	9883	83.47128378378379	11109	93.82601351351352
class	Non-neuron	seurat	11840	0.9891448753948754	1.0	0.0959508712265354	102	0.8614864864864865	11616	98.10810810810811	11718	98.9695945945946
class	OPC	scvi	106432	0.9443180505107021	1.0	0.18925365381287923	2952	2.773601924233313	90111	84.6653262176789	93063	87.4389281419122
class	OPC	seurat	107045	0.9214217547089577	1.0	0.25084894867412405	6707	6.265589238170863	92877	86.76444485963847	99584	93.03003409780933
class	Oligodendrocyte	scvi	113042	0.936469374424817	1.0	0.18497961137867214	2155	1.9063710833141665	80079	70.84004175439217	82234	72.74641283770634
class	Oligodendrocyte	seurat	113645	0.9855126541478706	1.0	0.07573034467779859	269	0.23670201064719082	99370	87.4389546394474	99639	87.6756566500946
class	PAX6	scvi	15601	0.7840114034204155	1.0	0.36293787282293394	2378	15.242612653035062	10523	67.45080443561311	12901	82.69341708864816
class	PAX6	seurat	15620	0.8059801231632218	1.0	0.3386687930242068	1956	12.522407170294494	10639	68.11139564660691	12595	80.63380281690141
class	PVALB	scvi	97330	0.8476761750247166	0.9090909090909092	0.2198174669170512	3439	3.5333401828829754	41104	42.23158327339977	44543	45.76492345628275
class	PVALB	seurat	97915	0.8844255405875078	1.0	0.19553648435316534	2833	2.8933258438441505	49057	50.10161875095746	51890	52.994944594801616
class	SNCG	scvi	64842	0.6019941796822522	0.6666666666666666	0.4080067757930821	18228	28.1114092717683	23433	36.13861386138614	41661	64.25002313315444
class	SNCG	seurat	65297	0.6145943594518648	0.6666666666666666	0.3884072641569949	15894	24.341087645680506	22259	34.088855537007824	38153	58.42994318268833
class	SST	scvi	92984	0.8679442682731772	1.0	0.22756418929066355	3634	3.908199260087757	50825	54.659941495311024	54459	58.56814075539878
class	SST	seurat	93565	0.9008240672590667	1.0	0.2220798230547813	4074	4.354192272751563	63015	67.34890183295036	67089	71.70309410570192
class	VIP	scvi	95092	0.8589855980253617	0.9696969696969696	0.22949670629176894	3833	4.0308332982795605	47434	49.882219324443696	51267	53.91305262272326
class	VIP	seurat	95685	0.8789311496260486	1.0	0.2188918914930378	3829	4.001672153420076	51728	54.06072007106652	55557	58.062392224486594
class	Vascular	scvi	70023	0.8633668229377157	1.0	0.29389989288128976	6038	8.622881053368179	51306	73.27021121631464	57344	81.89309226968282
class	Vascular	seurat	70525	0.8769554153879637	1.0	0.29713303898450016	6597	9.354129741226515	55480	78.6671393123006	62077	88.02126905352712
class	deep layer non-IT	scvi	91052	0.8195676126800728	0.9411764705882352	0.26096807528778276	4130	4.535869612968414	44012	48.33721389974959	48142	52.873083512718004
class	deep layer non-IT	seurat	91607	0.8369159732613509	1.0	0.26901233785802736	1784	1.9474494307203598	53247	58.12547076096805	55031	60.07292019168841
family	Astrocyte	scvi	111212	0.9483870286522639	1.0	0.16343495854004922	1741	1.5654785454807034	85872	77.2146890623314	87613	78.7801676078121
family	Astrocyte	seurat	111835	0.9785391059318047	1.0	0.10373966616919712	799	0.7144453882952564	98475	88.05382930209684	99274	88.76827469039209
family	GABAergic	scvi	114112	0.939319072432337	1.0	0.14530673312755926	607	0.5319335389792484	74705	65.46638390353337	75312	65.99831744251262
family	GABAergic	seurat	114735	0.9760964228601201	1.0	0.07491228275230782	262	0.22835229005970278	85022	74.1029328452521	85284	74.3312851353118
family	Glutamatergic	scvi	114552	0.9127210755850107	1.0	0.21050588553292923	776	0.6774216076541658	62650	54.69131922620295	63426	55.36874083385711
family	Glutamatergic	seurat	115175	0.9871654717797269	1.0	0.05921377387114336	117	0.10158454525721727	83096	72.14760147601476	83213	72.24918602127198
family	Microglia	scvi	91003	0.9165103941857844	1.0	0.23347876873594517	4469	4.910827115589596	73543	80.81381932463765	78012	85.72464644022725
family	Microglia	seurat	91565	0.9246118386930666	1.0	0.22846822047430276	4328	4.726696881996396	76534	83.58433899415715	80862	88.31103587615355
family	Non-neuron	scvi	11840	0.8751652026100556	1.0	0.3096314122480769	1226	10.35472972972973	9735	82.22128378378379	10961	92.57601351351352
family	Non-neuron	seurat	11840	0.9655702293202292	1.0	0.12675825391737017	102	0.8614864864864865	10720	90.54054054054055	10822	91.40202702702703
family	OPC	scvi	106432	0.9443926789790466	1.0	0.18925319810453822	2952	2.773601924233313	90195	84.74424984966927	93147	87.51785177390259
family	OPC	seurat	107045	0.9219823510245172	1.0	0.25086507758085674	6707	6.265589238170863	93449	87.29879957027418	100156	93.56438880844505
family	Oligodendrocyte	scvi	113042	0.9372226600101722	1.0	0.18467285449191936	2155	1.9063710833141665	81096	71.73970736540402	83251	73.64607844871817
family	Oligodendrocyte	seurat	113645	0.9862433500988345	1.0	0.07460572788388685	269	0.23670201064719082	100373	88.32152756390515	100642	88.55822957455233
family	Vascular	scvi	70023	0.8636725750549175	1.0	0.29389249253021127	6038	8.622881053368179	51401	73.40588092483898	57439	82.02876197820716
family	Vascular	seurat	70525	0.8781110831248312	1.0	0.29704790488568394	6597	9.354129741226515	55847	79.18752215526409	62444	88.5416518964906
global	GABAergic	scvi	114112	0.939319072432337	1.0	0.14530673312755926	607	0.5319335389792484	74705	65.46638390353337	75312	65.99831744251262
global	GABAergic	seurat	114735	0.9760964228601201	1.0	0.07491228275230782	262	0.22835229005970278	85022	74.1029328452521	85284	74.3312851353118
global	Glutamatergic	scvi	114552	0.9127210755850107	1.0	0.21050588553292923	776	0.6774216076541658	62650	54.69131922620295	63426	55.36874083385711
global	Glutamatergic	seurat	115175	0.9871654717797269	1.0	0.05921377387114336	117	0.10158454525721727	83096	72.14760147601476	83213	72.24918602127198
global	Non-neuron	scvi	115982	0.946881624999087	1.0	0.16046681297011112	689	0.5940576986084047	73794	63.62539014674691	74483	64.21944784535532
global	Non-neuron	seurat	116605	0.9857546820916	1.0	0.08176119732045059	15	0.012863942369538185	89922	77.1167617169075	89937	77.12962565927705
