"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Dissection Primary auditory cortexA1 seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	1.99309111674572	0.0192894415057357	Inf	1	71.2622266144869	0
"Dissection Primary auditory cortexA1 seurat / whole cortex scvi"	0.692142354217979	0.00714471016383372	Inf	1	-35.6464023767408	0
"Dissection Primary auditory cortexA1 seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.837772711480013	0.0104430446839513	Inf	1	-14.2001540195438	0
"Dissection Primary auditory cortexA1 seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.68521400491332	0.00701847111184595	Inf	1	-36.9065264048801	0
"Dissection Primary somatosensory cortex S1 seurat / Dissection Primary visual cortexV1 seurat"	1.34299972179459	0.0136009455097181	Inf	1	29.1199083714364	0
"Dissection Primary somatosensory cortex S1 seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	3.97953520582982	0.037637713775612	Inf	1	146.034238285608	0
"Dissection Primary somatosensory cortex S1 seurat / whole cortex seurat"	1.1814325334523	0.0120304765856833	Inf	1	16.3732121190035	0
"Dissection Primary somatosensory cortex S1 seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.34885474582394	0.0170166375956868	Inf	1	23.7210631796199	0
"Dissection Primary somatosensory cortex S1 seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.16563400130193	0.0119348107966771	Inf	1	14.9689063841695	0
"Dissection Primary somatosensory cortex S1 seurat / Dissection Angular gyrus AnG scvi"	0.853359651980029	0.00876090166010599	Inf	1	-15.445991697118	0
"Dissection Primary somatosensory cortex S1 seurat / Dissection Anterior cingulate cortex ACC scvi"	1.04111209556665	0.0106542898478706	Inf	1	3.93699152255923	0.0123607681881919
"Dissection Primary somatosensory cortex S1 seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	2.29780122231312	0.0279061620014197	Inf	1	68.5032171142721	0
"Dissection Primary somatosensory cortex S1 seurat / Dissection Primary auditory cortexA1 scvi"	0.90106744996404	0.0092787797726165	Inf	1	-10.1165078522869	2.04058991926104e-13
"Dissection Primary somatosensory cortex S1 seurat / Dissection Primary somatosensory cortex S1 scvi"	0.878251722149356	0.00909534137331856	Inf	1	-12.5356942705709	0
"Dissection Primary somatosensory cortex S1 seurat / Dissection Primary visual cortexV1 scvi"	1.17615158944333	0.0119702745163769	Inf	1	15.9418183302652	0
